Time;Sender;Receiver;Type
0;1;0;IPMessage
0;5;-1;PoliceRadio
1;6;-1;PoliceRadio
2;2;0;TicketRequest
2;7;0;TicketRequest
3;0;2;Ticket
3;7;0;TicketRequest
4;7;0;TicketRequest
5;7;0;TicketRequest
6;7;0;TicketRequest
7;7;0;TicketRequest
8;7;0;TicketRequest
9;3;0;TicketRequest
9;7;0;TicketRequest
10;0;3;Ticket
10;7;0;TicketRequest
11;7;0;TicketRequest
12;7;0;TicketRequest
13;7;0;TicketRequest
14;7;0;TicketRequest
15;3;1;BoardingRequest
15;7;0;TicketRequest
16;1;3;BoardingCall
16;7;0;TicketRequest
17;7;0;TicketRequest
18;7;0;TicketRequest
19;7;0;TicketRequest
20;7;0;TicketRequest
21;7;0;TicketRequest
22;7;0;TicketRequest
23;7;0;TicketRequest
24;7;0;TicketRequest
25;7;0;TicketRequest
26;7;0;TicketRequest
27;7;0;TicketRequest
28;7;0;TicketRequest
29;7;0;TicketRequest
30;7;0;TicketRequest
31;7;0;TicketRequest
32;7;0;TicketRequest
33;7;0;TicketRequest
34;7;0;TicketRequest
35;7;0;TicketRequest
36;7;0;TicketRequest
37;7;0;TicketRequest
38;7;0;TicketRequest
39;7;0;TicketRequest
40;7;0;TicketRequest
41;7;0;TicketRequest
42;7;0;TicketRequest
43;7;0;TicketRequest
44;7;0;TicketRequest
45;7;0;TicketRequest
46;7;0;TicketRequest
47;7;0;TicketRequest
48;7;0;TicketRequest
49;7;0;TicketRequest
50;7;0;TicketRequest
51;7;0;TicketRequest
52;7;0;TicketRequest
53;7;0;TicketRequest
54;7;0;TicketRequest
55;7;0;TicketRequest
56;7;0;TicketRequest
57;7;0;TicketRequest
58;7;0;TicketRequest
59;7;0;TicketRequest
60;7;0;TicketRequest
61;7;0;TicketRequest
62;7;0;TicketRequest
63;7;0;TicketRequest
64;7;0;TicketRequest
65;7;0;TicketRequest
66;7;0;TicketRequest
67;7;0;TicketRequest
68;7;0;TicketRequest
69;7;0;TicketRequest
70;7;0;TicketRequest
71;7;0;TicketRequest
72;7;0;TicketRequest
73;7;0;TicketRequest
74;7;0;TicketRequest
75;7;0;TicketRequest
76;7;0;TicketRequest
77;7;0;TicketRequest
78;7;0;TicketRequest
79;7;0;TicketRequest
80;7;0;TicketRequest
81;7;0;TicketRequest
82;7;0;TicketRequest
83;7;0;TicketRequest
84;7;0;TicketRequest
85;7;0;TicketRequest
86;7;0;TicketRequest
87;7;0;TicketRequest
88;7;0;TicketRequest
89;7;0;TicketRequest
90;7;0;TicketRequest
91;7;0;TicketRequest
92;7;0;TicketRequest
93;7;0;TicketRequest
94;7;0;TicketRequest
95;7;0;TicketRequest
96;7;0;TicketRequest
97;7;0;TicketRequest
98;7;0;TicketRequest
99;7;0;TicketRequest
