Name;Time;X;Y
counter1;0;10,0;10,0
DLH123;0;20,0;20,0
jim;0;-1,0;3,0
jack;0;-2,0;2,0
johnMclain;0;-10,0;-10,0
LuckyLuke;0;-10,0;10,0
soc;0;-50,0;-50,0
BadJoe;0;2,0;-3,0
counter1;1;10,0;10,0
DLH123;1;20,0;20,0
jim;1;-1,0;6,0
jack;1;-1,0;-1,0
johnMclain;1;-10,0;-10,0
LuckyLuke;1;-17,071067811865476;17,071067811865476
soc;1;-50,0;-50,0
BadJoe;1;6,0;-2,0
counter1;2;10,0;10,0
DLH123;2;20,0;20,0
jim;2;-1,0;6,0
jack;2;2,0;-1,0
johnMclain;2;-5,52786404500042;-1,0557280900008408
LuckyLuke;2;-23,442336225264693;24,77865750024546
soc;2;-50,0;-50,0
BadJoe;2;6,0;-2,0
counter1;3;10,0;10,0
DLH123;3;20,0;20,0
jim;3;-1,0;6,0
jack;3;-1,0;1,0
johnMclain;3;-6,34425111968827;8,910891805644955
LuckyLuke;3;-30,170838248472982;32,176445042726115
soc;3;-50,0;-50,0
BadJoe;3;6,0;-2,0
counter1;4;10,0;10,0
DLH123;4;20,0;20,0
jim;4;-1,0;6,0
jack;4;-4,0;2,0
johnMclain;4;-12,966917066158402;16,403574620329216
LuckyLuke;4;-37,038676994803225;39,445061895635966
soc;4;-50,0;-50,0
BadJoe;4;6,0;-2,0
counter1;5;10,0;10,0
DLH123;5;20,0;20,0
jim;5;1,773500981126145;10,160251471689218
jack;5;-6,0;-1,0
johnMclain;5;-19,93060070953417;23,580420035620033
LuckyLuke;5;-43,97512946725445;46,6482297471736
soc;5;-50,0;-50,0
BadJoe;5;6,0;-2,0
counter1;6;10,0;10,0
DLH123;6;20,0;20,0
jim;6;4,148766910730557;14,560036894145693
jack;6;-4,0;2,0
johnMclain;6;-26,953435921912572;30,69939366808827
LuckyLuke;6;-50,950430332417895;53,81378470408029
soc;6;-50,0;-50,0
BadJoe;6;6,0;-2,0
counter1;7;10,0;10,0
DLH123;7;20,0;20,0
jim;7;5,771791284051697;19,289285447944227
jack;7;-1,0;1,0
johnMclain;7;-33,99708965281001;37,7977696879406
LuckyLuke;7;-57,94986731437489;60,95576495717626
soc;7;-50,0;-50,0
BadJoe;7;6,0;-2,0
counter1;8;10,0;10,0
DLH123;8;20,0;20,0
jim;8;6,021235738368158;24,283059317895766
jack;8;2,0;0,0
johnMclain;8;-41,05047260534938;44,8864782392091
LuckyLuke;8;-64,96532939750846;68,0820046219725
soc;8;-50,0;-50,0
BadJoe;8;6,0;-2,0
counter1;9;10,0;10,0
DLH123;9;20,0;20,0
jim;9;4,55646189105001;29,06369082180953
jack;9;2,0;0,0
johnMclain;9;-48,10918504771074;51,96987986950318
LuckyLuke;9;-71,99197606049805;75,19721626137559
soc;9;-50,0;-50,0
BadJoe;9;6,0;-2,0
counter1;10;10,0;10,0
DLH123;10;20,0;20,0
jim;10;2,0256656022123587;33,375890973055476
jack;10;2,0;0,0
johnMclain;10;-55,17113295870077;59,05005583500457
LuckyLuke;10;-79,02673904647715;82,30440344978553
soc;10;-50,0;-50,0
BadJoe;10;6,0;-2,0
counter1;11;10,0;10,0
DLH123;11;20,0;20,0
jim;11;-0,9593368442719257;37,387095330163554
jack;11;2,0;0,0
johnMclain;11;-62,235192426060465;66,12812505207258
LuckyLuke;11;-86,0675789185058;89,40557052967115
soc;11;-50,0;-50,0
BadJoe;11;6,0;-2,0
counter1;12;10,0;10,0
DLH123;12;20,0;20,0
jim;12;-4,1516886717533605;41,23532736703139
jack;12;5,716470731235832;3,344823658112248
johnMclain;12;-69,30070612221421;73,20474262047797
LuckyLuke;12;-93,1130870184437;96,50210599521415
soc;12;-50,0;-50,0
BadJoe;12;6,0;-2,0
counter1;13;10,0;10,0
DLH123;13;20,0;20,0
