Name;Time;X;Y
counter1;0;10,0;10,0
DLH123;0;20,0;20,0
jim;0;0,0;0,0
jack;0;0,0;0,0
johnMclain;0;-2,9289321881345254;-2,9289321881345245
LuckyLuke;0;-10,0;10,0
soc;0;-50,0;-50,0
BadJoe;0;0,0;0,0
counter1;1;10,0;10,0
DLH123;1;20,0;20,0
jim;1;0,0;0,0
jack;1;0,0;0,0
johnMclain;1;-4,440892098500626E-16;8,881784197001252E-16
LuckyLuke;1;-17,071067811865476;17,071067811865476
soc;1;-50,0;-50,0
BadJoe;1;0,0;0,0
counter1;2;10,0;10,0
DLH123;2;20,0;20,0
jim;2;0,0;0,0
jack;2;0,0;0,0
johnMclain;2;-1,332267629550188E-15;1,3322676295501878E-15
LuckyLuke;2;-24,14213562373095;24,14213562373095
soc;2;-50,0;-50,0
BadJoe;2;0,0;0,0
counter1;3;10,0;10,0
DLH123;3;20,0;20,0
jim;3;0,0;0,0
jack;3;0,0;0,0
johnMclain;3;-1,332267629550188E-15;1,3322676295501878E-15
LuckyLuke;3;-24,14213562373095;24,14213562373095
soc;3;-50,0;-50,0
counter1;4;10,0;10,0
DLH123;4;20,0;20,0
jim;4;0,0;0,0
jack;4;0,0;0,0
johnMclain;4;-1,332267629550188E-15;1,3322676295501878E-15
LuckyLuke;4;-24,14213562373095;24,14213562373095
soc;4;-50,0;-50,0
