Time;Sender;Receiver;Type
0;1;0;IPMessage
1;2;0;TicketRequest
1;3;0;TicketRequest
1;4;-1;PoliceRadio
1;4;5;ArrestCall
1;4;-1;PoliceRadio
2;0;2;Ticket
2;4;5;ArrestCall
2;4;-1;PoliceRadio
3;0;3;Ticket
7;2;1;BoardingRequest
8;1;2;BoardingCall
8;3;1;BoardingRequest
9;1;3;BoardingCall
54;5;0;TicketRequest
55;5;0;TicketRequest
56;5;0;TicketRequest
57;5;0;TicketRequest
58;5;0;TicketRequest
59;5;0;TicketRequest
60;5;0;TicketRequest
61;5;0;TicketRequest
62;5;0;TicketRequest
63;5;0;TicketRequest
64;5;0;TicketRequest
65;5;0;TicketRequest
66;5;0;TicketRequest
67;5;0;TicketRequest
68;5;0;TicketRequest
69;5;0;TicketRequest
70;5;0;TicketRequest
71;5;0;TicketRequest
72;5;0;TicketRequest
73;5;0;TicketRequest
74;5;0;TicketRequest
75;5;0;TicketRequest
76;5;0;TicketRequest
77;5;0;TicketRequest
78;5;0;TicketRequest
79;5;0;TicketRequest
80;5;0;TicketRequest
81;5;0;TicketRequest
82;5;0;TicketRequest
83;5;0;TicketRequest
84;5;0;TicketRequest
85;5;0;TicketRequest
86;5;0;TicketRequest
87;5;0;TicketRequest
88;5;0;TicketRequest
89;5;0;TicketRequest
90;5;0;TicketRequest
91;5;0;TicketRequest
92;5;0;TicketRequest
93;5;0;TicketRequest
94;5;0;TicketRequest
95;5;0;TicketRequest
96;5;0;TicketRequest
97;5;0;TicketRequest
98;5;0;TicketRequest
99;5;0;TicketRequest
