Name;Time;X;Y
counter1;0;10,0;10,0
DLH123;0;20,0;20,0
jim;0;2,0;2,0
jack;0;3,0;1,0
johnMclain;0;-10,0;-10,0
BadJoe;0;-2,0;-3,0
counter1;1;10,0;10,0
DLH123;1;20,0;20,0
jim;1;2,0;2,0
jack;1;3,0;1,0
johnMclain;1;-3,414953921314819;-2,474233052931222
BadJoe;1;-6,0;-4,0
counter1;2;10,0;10,0
DLH123;2;20,0;20,0
jim;2;2,0;2,0
jack;2;3,0;1,0
johnMclain;2;-4,940720868383597;-5,059279131616403
BadJoe;2;-5,0;0,0
counter1;3;10,0;10,0
DLH123;3;20,0;20,0
jim;3;2,0;2,0
jack;3;3,0;1,0
johnMclain;3;0,11855826323280638;-5,118558263232808
BadJoe;3;-7,0;-3,0
counter1;4;10,0;10,0
DLH123;4;20,0;20,0
jim;4;5,535533905932738;5,535533905932738
jack;4;3,0;1,0
johnMclain;4;2,237116526465615;-12,237116526465613
BadJoe;4;-11,0;-3,0
counter1;5;10,0;10,0
DLH123;5;20,0;20,0
jim;5;9,071067811865476;9,071067811865476
jack;5;6,726206567625496;4,333974297349129
johnMclain;5;9,30818433833109;-19,30818433833109
BadJoe;5;-11,0;1,0
counter1;6;10,0;10,0
DLH123;6;20,0;20,0
jim;6;12,606601717798213;12,606601717798213
jack;6;10,540984759143182;7,566228518403077
johnMclain;6;16,379252150196564;-26,379252150196564
BadJoe;6;-13,0;-2,0
counter1;7;10,0;10,0
DLH123;7;20,0;20,0
jim;7;16,14213562373095;16,14213562373095
jack;7;14,520353862278693;10,593541112274163
johnMclain;7;23,45031996206204;-33,45031996206204
BadJoe;7;-16,0;-5,0
counter1;8;10,0;10,0
DLH123;8;20,0;20,0
jim;8;16,14213562373095;16,14213562373095
jack;8;18,84073786015169;13,110341086631074
johnMclain;8;30,521387773927515;-40,521387773927515
BadJoe;8;-20,0;-4,0
counter1;9;10,0;10,0
DLH123;9;20,0;20,0
jim;9;16,14213562373095;16,14213562373095
jack;9;18,84073786015169;13,110341086631074
johnMclain;9;37,59245558579299;-47,59245558579299
BadJoe;9;-20,0;0,0
counter1;10;10,0;10,0
DLH123;10;20,0;20,0
jack;10;18,84073786015169;13,110341086631074
johnMclain;10;44,663523397658466;-54,663523397658466
BadJoe;10;-24,0;2,0
counter1;11;10,0;10,0
DLH123;11;20,0;20,0
johnMclain;11;51,73459120952394;-61,73459120952394
BadJoe;11;-25,0;6,0
counter1;12;10,0;10,0
DLH123;12;20,0;20,0
johnMclain;12;58,80565902138942;-68,80565902138942
BadJoe;12;-26,0;10,0
counter1;13;10,0;10,0
DLH123;13;20,0;20,0
johnMclain;13;65,87672683325489;-75,87672683325489
BadJoe;13;-28,0;14,0
counter1;14;10,0;10,0
DLH123;14;20,0;20,0
johnMclain;14;72,94779464512037;-82,94779464512037
BadJoe;14;-28,0;18,0
counter1;15;10,0;10,0
DLH123;15;20,0;20,0
johnMclain;15;80,01886245698584;-90,01886245698584
BadJoe;15;-25,0;15,0
counter1;16;10,0;10,0
DLH123;16;20,0;20,0
johnMclain;16;87,08993026885132;-97,08993026885132
BadJoe;16;-28,0;13,0
counter1;17;10,0;10,0
DLH123;17;20,0;20,0
johnMclain;17;94,1609980807168;-104,1609980807168
BadJoe;17;-32,0;13,0
counter1;18;10,0;10,0
DLH123;18;20,0;20,0
johnMclain;18;101,23206589258227;-111,23206589258227
BadJoe;18;-36,0;13,0
counter1;19;10,0;10,0
DLH123;19;20,0;20,0
johnMclain;19;108,30313370444775;-118,30313370444775
BadJoe;19;-36,0;9,0
counter1;20;10,0;10,0
DLH123;20;20,0;20,0
johnMclain;20;115,37420151631322;-125,37420151631322
BadJoe;20;-33,0;11,0
counter1;21;10,0;10,0
DLH123;21;20,0;20,0
johnMclain;21;122,4452693281787;-132,44526932817868
